hello,你好
sit,坐
aah,啊
down,向下
oooh,噢
stand,站
I,我
up,向上
am,是
open,打开
goodbye,再见
the,这（那）个；这（那）些
How are you?,你好！
window,窗户
*woof,（狗叫声）汪汪
door,门
no,不；不是
See you!,再见！
yes,是；是的
point,指
sorry,对不起
to,向......
fine,（身体）很好
aarg,啊
thank,谢谢
desk,书桌
you,你；你们
chair,椅子
what,什么
it,它
is,是
it's,它是
red,红色；红色的
your,你的；你们的
aha,啊哈
name,名字
blue,蓝色；蓝色的
please,请
wow,哇
ha ha,哈哈
yellow,黄色；黄色的
good,好的
oh,唉；哦
morning,早晨；上午
colour,颜色
Ms,女士
green,绿色；绿色的
my,我的
now,现在
bird,鸟
black,黑色；黑色的
*tweet,（鸟）啾啾声
white,白色；白色的
a(n),一个；一
dog,狗
panda,熊猫
boy,男孩
and,和
girl,女孩
hey,嘿
whoops,哎哟
look,看
afternoon,下午
orange,橙色；橙色的
