China,中国
three,三
four,四
this,这个
our,我们的
count,数
say,说
teacher,教师
five,五
school,学校
classroom,教室
seven,七
Nice to meet you,见到你真高兴
eight,八
child,小孩
nine,九
that,那个
ten,十
bag,包
pink,粉色
ball,球
so,这么
schoolbag,书包
many,许多
brown,棕色
book,书
pen,钢笔
pencil,铅笔
ruler,直尺
how old,多大
eraser,橡皮
are,是
*pencil case,铅笔盒
too,也
crayon,蜡笔
happy,快乐的
birthday,生日
but,但是
for,为
new,新的
You're welcome,不客气
kite,风筝
or,或者
not,不
father,父亲
*daddy,爸爸
monkey,猴子
mother,母亲
*monster,怪物
help,救命
grandpa,祖父
grandma,祖母
house,房屋
friend,朋友
box,盒子
his,他的
car,汽车
sister,姐妹
how many,多少
brother,兄弟
one,一
her,她的
two,二
