dress,连衣裙
song,歌曲
too,太......
come on,加油；快点
one,一个
team,联队，运动队
doesn't,不（= does not）
trousers,裤子
party,聚会
meat,肉
noodles,面条（常复）
rice,米饭
get up,起床
sweets,糖果（常复）
*poster,海报，招贴画
children,孩子们（child的复数）
go to school,去上学
*ginger,姜
have,吃，喝
nice,好的
lunch,午餐
mm,味
have lunch,吃午餐
*onion,洋葱
home,家
ice cream,冰淇淋
go home,回家
watch,看看
TV,电视；电视机
banana,香蕉
watch TV,看电视
apple,苹果
milk,奶，牛奶
orange,柑橘，橙
on,在......的时候
fruit,水果
Sunday,星期日
*milkshake,奶昔
park,公园
Here you are,给你
great,太好了，好极了
everything,每件事，所有事物
*goal,进球，得分
tomato,西红柿
hooray,好，好哇（表示激动与高兴的呼喊声）
really,很，非常
their,他（她/它）们的
live,居住
favourite,最喜欢的事物
moon,月亮
sky,天，天空
city,城市
T-shirt,T恤衫
here's,这是
hm,嗯（语气词）
