how long,多长
near,在……附近
wrote,写（write的过去式）
along,沿着
when,当……时
more than,超过
kilometre,千米，公里
lion dance,舞狮
tomb,陵墓
metre,米
stamp,邮票
office building,办公大楼
book,簿，册
collect,收集
Chinatown,唐人街，中国城
sun,太阳
town,城镇，市镇
island,岛屿
subject,主题，话题
coconut,椰子
everywhere,到处
spoke,说（某种语言）（speak的过去式）
ever,曾经
tidy,整齐的，整洁的
messy,凌乱的
never,从不
blackboard,黑板
peace,和平
make peace,维护和平
member state,成员国
famous,著名的
aunt,姑母；姨母；舅母；伯母；婶母
forgot,忘记（forget的过去式）
way,方式，方法
cross,穿过（马路等）；渡过（河）
answer,回答，答复
Thanksgiving,感恩节
Miss,女士，小姐
nearly,差不多，将近
the Spring Festival,春节
sure,当然
bamboo,竹子
December,十二月
gave,给，送（give的过去式）
light,灯
its,它的
almost,几乎，差不多
pleased,开心的，高兴的
frightened,害怕的，受惊的
pretty,漂亮的
shy,害羞的
French,法语
roar,吼叫声
phone,电话
fox,狐狸
at night,在夜晚
world,世界
difficult,困难的
coin,硬币
